Dataset,Filter,Variable,population,P,N,PositiveTest,NegativeTest,TP,TN,FP,FN,TPR,TNR,PPV,NPV,FPR,FDR,FNR,ACC,F1_score,MCC,informedness,markedness,prevalence,LRP,LRN,DOR,FOR
cscw19-unapproved-ideas_import.csv,sentencestructurefilter2,None,354,288,66,1,353,1,66,0,287,0.003472222222222222,1.0,1.0,0.18696883852691218,0.0,0.0,0.9965277777777778,0.18926553672316385,0.006920415224913495,0.025479351561533563,0.003472222222222321,0.18696883852691215,0.8135593220338984,inf,0.9965277777777778,inf,0.8130311614730878
cscw19-unapproved-ideas_import.csv,sentencestructurefilter3,None,354,288,66,9,345,9,66,0,279,0.03125,1.0,1.0,0.19130434782608696,0.0,0.0,0.96875,0.211864406779661,0.06060606060606061,0.07731921410338582,0.03125,0.19130434782608696,0.8135593220338984,inf,0.96875,inf,0.808695652173913
cscw19-unapproved-ideas_import.csv,sentencestructurefilter4,None,354,288,66,6,348,6,66,0,282,0.020833333333333332,1.0,1.0,0.1896551724137931,0.0,0.0,0.9791666666666666,0.2033898305084746,0.04081632653061224,0.06285816912134298,0.02083333333333326,0.18965517241379315,0.8135593220338984,inf,0.9791666666666666,inf,0.8103448275862069
cscw19-unapproved-ideas_import.csv,isdefinition,None,354,288,66,46,308,46,66,0,242,0.1597222222222222,1.0,1.0,0.21428571428571427,0.0,0.0,0.8402777777777778,0.3163841807909605,0.2754491017964072,0.18500321747523873,0.15972222222222232,0.2142857142857142,0.8135593220338984,inf,0.8402777777777778,inf,0.7857142857142857
cscw19-unapproved-ideas_import.csv,containsnames,StanfordNERTagger,354,288,66,13,341,13,66,0,275,0.04513888888888889,1.0,1.0,0.1935483870967742,0.0,0.0,0.9548611111111112,0.2231638418079096,0.08637873754152824,0.09346956263824575,0.04513888888888884,0.19354838709677424,0.8135593220338984,inf,0.9548611111111112,inf,0.8064516129032258
cscw19-unapproved-ideas_import.csv,withoutnoun,None,354,288,66,3,351,3,66,0,285,0.010416666666666666,1.0,1.0,0.18803418803418803,0.0,0.0,0.9895833333333334,0.19491525423728814,0.020618556701030927,0.044257083711982864,0.01041666666666674,0.18803418803418803,0.8135593220338984,inf,0.9895833333333334,inf,0.811965811965812
cscw19-unapproved-ideas_import.csv,withoutverb,None,354,288,66,77,277,76,65,1,212,0.2638888888888889,0.9848484848484849,0.987012987012987,0.23465703971119134,0.015151515151515152,0.012987012987012988,0.7361111111111112,0.3983050847457627,0.41643835616438357,0.23481401211100153,0.2487373737373737,0.22167002672417846,0.8135593220338984,17.416666666666668,0.7474358974358974,23.30188679245283,0.7653429602888087
cscw19-unapproved-ideas_import.csv,withoutadjective,None,354,288,66,118,236,91,39,27,197,0.3159722222222222,0.5909090909090909,0.7711864406779662,0.1652542372881356,0.4090909090909091,0.2288135593220339,0.6840277777777778,0.3672316384180791,0.4482758620689655,-0.07693218186208296,-0.09311868686868685,-0.06355932203389825,0.8135593220338984,0.7723765432098765,1.15758547008547,0.6672306824591089,0.8347457627118644
cscw19-unapproved-ideas_import.csv,withoutnoununigram,UnigramTagger,354,288,66,5,349,4,65,1,284,0.013888888888888888,0.9848484848484849,0.8,0.18624641833810887,0.015151515151515152,0.2,0.9861111111111112,0.19491525423728814,0.027303754266211604,-0.004167209307375703,-0.0012626262626262985,-0.013753581661891112,0.8135593220338984,0.9166666666666666,1.0012820512820513,0.9154929577464789,0.8137535816618912
cscw19-unapproved-ideas_import.csv,withoutverbunigram,UnigramTagger,354,288,66,88,266,85,63,3,203,0.2951388888888889,0.9545454545454546,0.9659090909090909,0.23684210526315788,0.045454545454545456,0.03409090909090909,0.7048611111111112,0.4180790960451977,0.4521276595744681,0.22499733175483594,0.24968434343434343,0.2027511961722488,0.8135593220338984,6.493055555555555,0.7384259259259259,8.793103448275861,0.7631578947368421
