Data,Filter,population,P,N,PositiveTest,NegativeTest,TP,TN,FP,FN,TPR,TNR,PPV,NPV,FPR,FDR,FNR,ACC,F1_score,MCC,informedness,markedness,prevalence,LRP,LRN,DOR,FOR
fabricresults AllNoDups,USE,391,17,374,2,389,1,373,1,16,0.058823529411764705,0.9973262032085561,0.5,0.9588688946015425,0.00267379679144385,0.5,0.9411764705882353,0.9565217391304348,0.10526315789473684,0.1605159360925226,0.05614973262032086,0.45886889460154245,0.043478260869565216,22.0,0.9436997319034852,23.3125,0.04113110539845758
fabricresults AllNoDups,Or Classifiers,391,17,374,19,372,7,362,12,10,0.4117647058823529,0.9679144385026738,0.3684210526315789,0.9731182795698925,0.03208556149732621,0.631578947368421,0.5882352941176471,0.9437340153452686,0.3888888888888889,0.36010465343298204,0.3796791443850267,0.3415393322014715,0.043478260869565216,12.833333333333332,0.6077348066298343,21.116666666666664,0.026881720430107527
fabricresults AllNoDups,Two Classifiers,391,17,374,1,390,1,374,0,16,0.058823529411764705,1.0,1.0,0.958974358974359,0.0,0.0,0.9411764705882353,0.959079283887468,0.1111111111111111,0.23750843439814176,0.05882352941176472,0.9589743589743591,0.043478260869565216,inf,0.9411764705882353,inf,0.041025641025641026
tcoresults,Bayes,259,114,145,52,207,48,141,4,66,0.42105263157894735,0.9724137931034482,0.9230769230769231,0.6811594202898551,0.027586206896551724,0.07692307692307693,0.5789473684210527,0.7297297297297297,0.5783132530120482,0.4875927744416344,0.39346642468239557,0.6042363433667783,0.44015444015444016,15.26315789473684,0.595371407241508,25.636363636363633,0.3188405797101449
tcoresults,complex Bayes,259,114,145,62,197,53,136,9,61,0.4649122807017544,0.9379310344827586,0.8548387096774194,0.6903553299492385,0.06206896551724138,0.14516129032258066,0.5350877192982456,0.7297297297297297,0.6022727272727273,0.46864461411824593,0.402843315184513,0.5451940396266579,0.44015444015444016,7.490253411306043,0.5704979360165119,13.129326047358834,0.3096446700507614
tcoresults,lin Classifier,259,114,145,92,167,80,133,12,34,0.7017543859649122,0.9172413793103448,0.8695652173913043,0.7964071856287425,0.08275862068965517,0.13043478260869565,0.2982456140350877,0.8223938223938224,0.7766990291262136,0.6420545905603322,0.6189957652752569,0.6659724030200467,0.44015444015444016,8.47953216374269,0.32515499274502047,26.078431372549016,0.20359281437125748
tcoresults,Filtersystem,259,114,145,83,176,70,132,13,44,0.6140350877192983,0.9103448275862069,0.8433734939759037,0.75,0.0896551724137931,0.1566265060240964,0.38596491228070173,0.7799227799227799,0.7106598984771574,0.5578110276030906,0.5243799153055053,0.5933734939759037,0.44015444015444016,6.848852901484481,0.42397660818713445,16.153846153846157,0.25
tcoresults,USE,259,114,145,110,149,95,130,15,19,0.8333333333333334,0.896551724137931,0.8636363636363636,0.87248322147651,0.10344827586206896,0.13636363636363635,0.16666666666666666,0.8687258687258688,0.8482142857142857,0.7329956928153352,0.7298850574712645,0.7361195851128737,0.44015444015444016,8.055555555555555,0.18589743589743588,43.333333333333336,0.12751677852348994
tcoresults,low avg,259,114,145,1,258,1,145,0,113,0.008771929824561403,1.0,1.0,0.562015503875969,0.0,0.0,0.9912280701754386,0.5637065637065637,0.017391304347826087,0.07021367787201806,0.00877192982456143,0.5620155038759691,0.44015444015444016,inf,0.9912280701754386,inf,0.437984496124031
tcoresults,Or Classifiers,259,114,145,139,120,107,113,32,7,0.9385964912280702,0.7793103448275862,0.7697841726618705,0.9416666666666667,0.2206896551724138,0.2302158273381295,0.06140350877192982,0.8494208494208494,0.8458498023715415,0.7146715476857123,0.7179068360556564,0.711450839328537,0.44015444015444016,4.2530153508771935,0.07879211302592765,53.977678571428584,0.058333333333333334
tcoresults,Two Classifiers,259,114,145,92,167,85,138,7,29,0.7456140350877193,0.9517241379310345,0.9239130434782609,0.8263473053892215,0.04827586206896552,0.07608695652173914,0.2543859649122807,0.861003861003861,0.8252427184466019,0.7233154090489591,0.6973381730187538,0.7502603488674824,0.44015444015444016,15.44486215538847,0.2672896008136283,57.78325123152709,0.17365269461077845
tcoresults,Three Classifiers,259,114,145,55,204,54,144,1,60,0.47368421052631576,0.993103448275862,0.9818181818181818,0.7058823529411765,0.006896551724137931,0.01818181818181818,0.5263157894736842,0.7644787644787645,0.6390532544378699,0.5665775521297385,0.46678765880217776,0.6877005347593583,0.44015444015444016,68.68421052631578,0.5299707602339181,129.6,0.29411764705882354
tcoresultsNoDups,Bayes,259,114,145,37,222,35,143,2,79,0.30701754385964913,0.9862068965517241,0.9459459459459459,0.6441441441441441,0.013793103448275862,0.05405405405405406,0.6929824561403509,0.6872586872586872,0.46357615894039733,0.41596735023191844,0.2932244404113733,0.5900900900900901,0.44015444015444016,22.25877192982456,0.7026745184639922,31.677215189873415,0.35585585585585583
tcoresultsNoDups,complex Bayes,259,114,145,37,222,34,142,3,80,0.2982456140350877,0.9793103448275862,0.918918918918919,0.6396396396396397,0.020689655172413793,0.08108108108108109,0.7017543859649122,0.6795366795366795,0.4503311258278146,0.39374008724242665,0.2775559588626739,0.5585585585585586,0.44015444015444016,14.415204678362572,0.7165801828514949,20.116666666666667,0.36036036036036034
tcoresultsNoDups,lin Classifier,259,114,145,90,169,78,133,12,36,0.6842105263157895,0.9172413793103448,0.8666666666666667,0.7869822485207101,0.08275862068965517,0.13333333333333333,0.3157894736842105,0.8146718146718147,0.7647058823529411,0.6270074845246293,0.6014519056261343,0.6536489151873768,0.44015444015444016,8.267543859649123,0.3442817570241393,24.01388888888889,0.21301775147928995
tcoresultsNoDups,Filtersystem,259,114,145,83,176,70,132,13,44,0.6140350877192983,0.9103448275862069,0.8433734939759037,0.75,0.0896551724137931,0.1566265060240964,0.38596491228070173,0.7799227799227799,0.7106598984771574,0.5578110276030906,0.5243799153055053,0.5933734939759037,0.44015444015444016,6.848852901484481,0.42397660818713445,16.153846153846157,0.25
