Data,Filter,population,P,N,PositiveTest,NegativeTest,TP,TN,FP,FN,TPR,TNR,PPV,NPV,FPR,FDR,FNR,ACC,F1_score,MCC,informedness,markedness,prevalence,LRP,LRN,DOR,FOR
tcoresultsNoDups,Bayes,259,118,141,37,222,35,139,2,83,0.2966101694915254,0.9858156028368794,0.9459459459459459,0.6261261261261262,0.014184397163120567,0.05405405405405406,0.7033898305084746,0.6718146718146718,0.45161290322580644,0.4019550929923215,0.2824257723284047,0.5720720720720722,0.4555984555984556,20.911016949152543,0.7135105474942081,29.30722891566265,0.3738738738738739
tcoresultsNoDups,complex Bayes,259,118,141,49,210,47,139,2,71,0.3983050847457627,0.9858156028368794,0.9591836734693877,0.6619047619047619,0.014184397163120567,0.04081632653061224,0.6016949152542372,0.7181467181467182,0.562874251497006,0.4884392662814342,0.3841206875826422,0.6210884353741495,0.4555984555984556,28.08050847457627,0.6103523960492623,46.00704225352113,0.3380952380952381
tcoresultsNoDups,lin Classifier,259,118,141,90,169,69,120,21,49,0.5847457627118644,0.851063829787234,0.7666666666666667,0.7100591715976331,0.14893617021276595,0.23333333333333334,0.4152542372881356,0.7297297297297297,0.6634615384615384,0.4558088341703741,0.43580959249909856,0.4767258382642998,0.4555984555984556,3.9261501210653753,0.48792372881355933,8.0466472303207,0.28994082840236685
tcoresultsNoDups,USE,259,118,141,125,134,99,115,26,19,0.8389830508474576,0.8156028368794326,0.792,0.8582089552238806,0.18439716312056736,0.208,0.16101694915254236,0.8262548262548263,0.8148148148148148,0.6523937508615466,0.6545858877268902,0.6502089552238806,0.4555984555984556,4.549869621903521,0.19742078113485628,23.046558704453446,0.1417910447761194
bionicresults,Bayes,844,55,789,2,842,2,789,0,53,0.03636363636363636,1.0,1.0,0.9370546318289786,0.0,0.0,0.9636363636363636,0.9372037914691943,0.07017543859649122,0.18459337443334775,0.036363636363636376,0.9370546318289787,0.06516587677725119,inf,0.9636363636363636,inf,0.06294536817102138
bionicresults,complex Bayes,844,55,789,4,840,4,789,0,51,0.07272727272727272,1.0,1.0,0.9392857142857143,0.0,0.0,0.9272727272727272,0.9395734597156398,0.13559322033898305,0.2613650479916707,0.07272727272727275,0.9392857142857143,0.06516587677725119,inf,0.9272727272727272,inf,0.060714285714285714
bionicresults,lin Classifier,844,55,789,10,834,7,786,3,48,0.12727272727272726,0.9961977186311787,0.7,0.9424460431654677,0.0038022813688212928,0.3,0.8727272727272727,0.9395734597156398,0.2153846153846154,0.28164356804095547,0.12347044590390599,0.6424460431654677,0.06516587677725119,33.47272727272727,0.876058292852186,38.20833333333333,0.05755395683453238
bionicresults,USE,844,55,789,7,837,4,786,3,51,0.07272727272727272,0.9961977186311787,0.5714285714285714,0.9390681003584229,0.0038022813688212928,0.42857142857142855,0.9272727272727272,0.9360189573459715,0.12903225806451613,0.18757925975820675,0.06892499135845132,0.5104966717869943,0.06516587677725119,19.127272727272725,0.9308119361554477,20.549019607843135,0.06093189964157706
bionicresultsNoDups,Bayes,844,55,789,2,842,2,789,0,53,0.03636363636363636,1.0,1.0,0.9370546318289786,0.0,0.0,0.9636363636363636,0.9372037914691943,0.07017543859649122,0.18459337443334775,0.036363636363636376,0.9370546318289787,0.06516587677725119,inf,0.9636363636363636,inf,0.06294536817102138
bionicresultsNoDups,complex Bayes,844,55,789,5,839,5,789,0,50,0.09090909090909091,1.0,1.0,0.9404052443384983,0.0,0.0,0.9090909090909091,0.9407582938388626,0.16666666666666666,0.29238910008574936,0.09090909090909083,0.9404052443384983,0.06516587677725119,inf,0.9090909090909091,inf,0.05959475566150179
bionicresultsNoDups,lin Classifier,844,55,789,10,834,7,786,3,48,0.12727272727272726,0.9961977186311787,0.7,0.9424460431654677,0.0038022813688212928,0.3,0.8727272727272727,0.9395734597156398,0.2153846153846154,0.28164356804095547,0.12347044590390599,0.6424460431654677,0.06516587677725119,33.47272727272727,0.876058292852186,38.20833333333333,0.05755395683453238
bionicresultsNoDups,USE,844,55,789,4,840,2,787,2,53,0.03636363636363636,0.9974651457541192,0.5,0.9369047619047619,0.0025348542458808617,0.5,0.9636363636363636,0.9348341232227488,0.06779661016949153,0.12157284234847039,0.03382878211775542,0.4369047619047619,0.06516587677725119,14.345454545454546,0.9660852489315005,14.849056603773585,0.0630952380952381
