Data,Filter,population,P,N,PositiveTest,NegativeTest,TP,TN,FP,FN,TPR,TNR,PPV,NPV,FPR,FDR,FNR,ACC,F1_score,MCC,informedness,markedness,prevalence,LRP,LRN,DOR,FOR
tcoresults,Bayes,259,108,151,53,206,49,147,4,59,0.4537037037037037,0.9735099337748344,0.9245283018867925,0.7135922330097088,0.026490066225165563,0.07547169811320754,0.5462962962962963,0.7567567567567568,0.6086956521739131,0.5221243097796584,0.427213637478538,0.6381205348965011,0.416988416988417,17.127314814814817,0.5611615016376921,30.521186440677972,0.28640776699029125
tcoresults,complex Bayes,259,108,151,73,186,59,137,14,49,0.5462962962962963,0.9072847682119205,0.8082191780821918,0.7365591397849462,0.09271523178807947,0.1917808219178082,0.4537037037037037,0.7567567567567568,0.6519337016574586,0.4970926768110472,0.4535810645082168,0.5447783178671379,0.416988416988417,5.8921957671957665,0.5000675858340092,11.782798833819239,0.26344086021505375
tcoresults,lin Classifier,259,108,151,79,180,68,140,11,40,0.6296296296296297,0.9271523178807947,0.8607594936708861,0.7777777777777778,0.0728476821192053,0.13924050632911392,0.37037037037037035,0.803088803088803,0.7272727272727273,0.5962600318277081,0.5567819475104243,0.6385372714486639,0.416988416988417,8.643097643097644,0.3994708994708995,21.636363636363637,0.2222222222222222
tcoresults,USE,259,108,151,113,146,92,130,21,16,0.8518518518518519,0.8609271523178808,0.8141592920353983,0.8904109589041096,0.1390728476821192,0.18584070796460178,0.14814814814814814,0.8571428571428571,0.832579185520362,0.7086627419529553,0.7127790041697326,0.7045702509395078,0.416988416988417,6.125220458553793,0.17207977207977207,35.5952380952381,0.1095890410958904
tcoresultsNoDups,Bayes,259,108,151,42,217,41,150,1,67,0.37962962962962965,0.9933774834437086,0.9761904761904762,0.6912442396313364,0.006622516556291391,0.023809523809523808,0.6203703703703703,0.7374517374517374,0.5466666666666666,0.49895680826462147,0.3730071130733381,0.6674347158218126,0.416988416988417,57.324074074074076,0.6245061728395062,91.7910447761194,0.3087557603686636
tcoresultsNoDups,complex Bayes,259,108,151,58,201,49,142,9,59,0.4537037037037037,0.9403973509933775,0.8448275862068966,0.7064676616915423,0.059602649006622516,0.15517241379310345,0.5462962962962963,0.7374517374517374,0.5903614457831325,0.4661180522638697,0.3941010546970811,0.5512952478984388,0.416988416988417,7.612139917695473,0.5809207094418362,13.103578154425612,0.2935323383084577
tcoresultsNoDups,lin Classifier,259,108,151,79,180,68,140,11,40,0.6296296296296297,0.9271523178807947,0.8607594936708861,0.7777777777777778,0.0728476821192053,0.13924050632911392,0.37037037037037035,0.803088803088803,0.7272727272727273,0.5962600318277081,0.5567819475104243,0.6385372714486639,0.416988416988417,8.643097643097644,0.3994708994708995,21.636363636363637,0.2222222222222222
tcoresultsNoDups,USE,259,108,151,107,152,90,134,17,18,0.8333333333333334,0.8874172185430463,0.8411214953271028,0.881578947368421,0.11258278145695365,0.1588785046728972,0.16666666666666666,0.8648648648648649,0.8372093023255814,0.721724838781445,0.7207505518763797,0.7227004426955239,0.416988416988417,7.401960784313726,0.18781094527363185,39.411764705882355,0.11842105263157894
tcoresults All,Bayes,259,108,151,22,237,22,151,0,86,0.2037037037037037,1.0,1.0,0.6371308016877637,0.0,0.0,0.7962962962962963,0.667953667953668,0.3384615384615385,0.3602581075388969,0.20370370370370372,0.6371308016877637,0.416988416988417,inf,0.7962962962962963,inf,0.3628691983122363
tcoresults All,complex Bayes,259,108,151,52,207,50,149,2,58,0.46296296296296297,0.9867549668874173,0.9615384615384616,0.7198067632850241,0.013245033112582781,0.038461538461538464,0.5370370370370371,0.7683397683397684,0.625,0.5535459908815706,0.44971792985038017,0.6813452248234857,0.416988416988417,34.9537037037037,0.544245587869749,64.22413793103448,0.28019323671497587
